depart_time,Time Difference
1990-01-01 13:15:04,0 days 00:02:57
1990-01-01 13:55:00,0 days 00:03:40
1990-01-01 07:29:54,0 days 00:04:10
1990-01-01 07:50:06,0 days 00:03:04
1990-01-01 08:19:26,0 days 00:03:18
1990-01-01 08:59:41,0 days 00:03:36
1990-01-01 09:19:47,0 days 00:03:20
1990-01-01 09:40:45,0 days 00:03:22
1990-01-01 10:00:10,0 days 00:03:40
1990-01-01 10:19:48,0 days 00:03:18
1990-01-01 11:31:19,0 days 00:03:28
1990-01-01 11:53:43,0 days 00:03:30
1990-01-01 12:14:43,0 days 00:03:44
1990-01-01 13:07:32,0 days 00:03:28
1990-01-01 13:54:30,0 days 00:03:27
1990-01-01 14:14:41,0 days 00:02:44
1990-01-01 07:24:19,0 days 00:02:59
1990-01-01 07:44:18,0 days 00:03:01
1990-01-01 08:48:34,0 days 00:03:14
1990-01-01 09:09:09,0 days 00:03:28
1990-01-01 10:19:58,0 days 00:03:34
1990-01-01 10:43:44,0 days 00:03:51
1990-01-01 11:04:42,0 days 00:04:05
1990-01-01 11:23:14,0 days 00:04:10
1990-01-01 11:43:16,0 days 00:03:21
1990-01-01 12:35:29,0 days 00:03:35
1990-01-01 12:54:27,0 days 00:03:49
1990-01-01 13:13:42,0 days 00:03:16
1990-01-01 13:24:20,0 days 00:03:30
1990-01-01 17:02:38,0 days 00:03:27
1990-01-01 13:21:41,0 days 00:03:03
1990-01-01 07:26:07,0 days 00:02:44
1990-01-01 08:53:51,0 days 00:03:07
1990-01-01 11:26:44,0 days 00:02:59
1990-01-01 12:56:41,0 days 00:02:54
1990-01-01 11:26:51,0 days 00:09:38
1990-01-01 17:14:50,0 days 00:09:29
1990-01-01 13:24:04,0 days 00:02:47
1990-01-01 08:52:46,0 days 00:03:18
1990-01-01 07:25:08,0 days 00:03:20
1990-01-01 08:53:37,0 days 00:03:12
1990-01-01 11:24:47,0 days 00:03:05
1990-01-01 12:53:43,0 days 00:03:03
1990-01-01 13:21:28,0 days 00:03:07
1990-01-01 13:55:14,0 days 00:03:39
1990-01-01 08:30:03,0 days 00:03:41
1990-01-01 08:27:49,0 days 00:03:09
1990-01-01 08:29:28,0 days 00:02:58
